features_dyn,roc_seed_0,mean_importance
AMG,0.06301744232778717,0.06301744232778717
ATF,0.062005296578799274,0.062005296578799274
CAR,0.06133053274614075,0.06133053274614075
CF1,0.05890751716523057,0.05890751716523057
CF2,0.062465362828339366,0.062465362828339366
CF3,0.06105449299641674,0.06105449299641674
CF4,0.061545230329259404,0.061545230329259404
Falta,0.06120784841293003,0.06120784841293003
GCC,0.05654584375092542,0.05654584375092542
GLI,0.06074778216339016,0.06074778216339016
LIN,0.061361203829443545,0.061361203829443545
LIP,0.06108516407971942,0.06108516407971942
MAC,0.06004234724742896,0.06004234724742896
MON,0.06399891699347238,0.06399891699347238
NTI,0.060931808663206244,0.060931808663206244
OTR,0.061361203829443434,0.061361203829443434
OXA,0.060778453246692954,0.060778453246692954
PAP,0.05939825449807312,0.05939825449807312
PEN,0.06056375566357419,0.06056375566357419
POL,0.061361203829443434,0.061361203829443434
QUI,0.05878483283201985,0.05878483283201985
SUL,0.061422545996048794,0.061422545996048794
TTC,0.061606572495864764,0.061606572495864764
pc_acinet,0.061361203829443434,0.061361203829443434
pc_enterob,0.060655768913482344,0.060655768913482344
pc_enteroc,0.06047174241366626,0.06047174241366626
pc_pseud,0.062005296578799274,0.062005296578799274
pc_staph,0.06019570266394225,0.06019570266394225
pc_stenot,0.061361203829443434,0.061361203829443434
pc_no_germ,0.06568582657511879,0.06568582657511879
isVM,0.030138041027333307,0.030138041027333307
numberOfPatients,0.0631094555776952,0.0631094555776952
numberOfPatientsMR,0.05722060758358405,0.05722060758358405
neighbor_AMG,0.061729256829075485,0.061729256829075485
neighbor_ATF,0.061821270078983304,0.061821270078983304
neighbor_CAR,0.061361203829443545,0.061361203829443545
neighbor_CF1,0.061667914662470014,0.061667914662470014
neighbor_CF2,0.061391874912746225,0.061391874912746225
neighbor_CF3,0.061637243579167444,0.061637243579167444
neighbor_CF4,0.060257044830547724,0.060257044830547724
neighbor_Falta,0.062250665245220715,0.062250665245220715
neighbor_GCC,0.062465362828339255,0.062465362828339255
neighbor_GLI,0.060441071330363694,0.060441071330363694
neighbor_LIN,0.0598583207476131,0.0598583207476131
neighbor_LIP,0.06099315082981149,0.06099315082981149
neighbor_MAC,0.055257658252213626,0.055257658252213626
neighbor_MON,0.06031838699715297,0.06031838699715297
neighbor_NTI,0.061483888162654154,0.061483888162654154
neighbor_OTR,0.061882612245588664,0.061882612245588664
neighbor_OXA,0.061821270078983415,0.061821270078983415
neighbor_PAP,0.062158651995312564,0.062158651995312564
neighbor_PEN,0.060901137579903564,0.060901137579903564
neighbor_POL,0.06099315082981149,0.06099315082981149
neighbor_QUI,0.05982764966431031,0.05982764966431031
neighbor_SUL,0.062250665245220715,0.062250665245220715
neighbor_TTC,0.061545230329259515,0.061545230329259515
