features_dyn,roc_seed_0,mean_importance
AMG,0.00626790027878954,0.00626790027878954
ATF,0.01375164460463918,0.01375164460463918
CAR,0.01599063368573339,0.01599063368573339
CF1,0.0144264084372977,0.0144264084372977
CF2,0.003016765448707437,0.003016765448707437
CF3,0.005378438863012369,0.005378438863012369
CF4,0.010899233857491586,0.010899233857491586
Falta,0.007188032777869502,0.007188032777869502
GCC,0.015469225269588271,0.015469225269588271
GLI,0.00645192677860551,0.00645192677860551
LIN,0.008660244776397152,0.008660244776397152
LIP,0.009427021858963713,0.009427021858963713
MAC,0.011880708523176797,0.011880708523176797
MON,0.010592523024464895,0.010592523024464895
NTI,0.004335622030721797,0.004335622030721797
OTR,0.008537560443186654,0.008537560443186654
OXA,0.008046823110343992,0.008046823110343992
PAP,0.01402768435436308,0.01402768435436308
PEN,0.020315256431408857,0.020315256431408857
POL,0.008537560443186654,0.008537560443186654
QUI,0.007341388194382681,0.007341388194382681
SUL,0.00639058461200015,0.00639058461200015
TTC,0.008660244776397152,0.008660244776397152
pc_acinet,0.008537560443186654,0.008537560443186654
pc_enterob,0.019395123932329117,0.019395123932329117
pc_enteroc,0.003814213614576567,0.003814213614576567
pc_pseud,0.011512655523544746,0.011512655523544746
pc_staph,0.00559313644613102,0.00559313644613102
pc_stenot,0.008537560443186654,0.008537560443186654
pc_no_germ,0.005102399113288358,0.005102399113288358
isVM,0.05604706847901042,0.05604706847901042
numberOfPatients,0.0002870390347703422,0.0002870390347703422
numberOfPatientsMR,0.02243156117929268,0.02243156117929268
neighbor_AMG,0.005194412363196399,0.005194412363196399
neighbor_ATF,0.002556699199167456,0.002556699199167456
neighbor_CAR,0.008292191776765212,0.008292191776765212
neighbor_CF1,0.010715207357675616,0.010715207357675616
neighbor_CF2,0.0077401122773173014,0.0077401122773173014
neighbor_CF3,0.011175273607215486,0.011175273607215486
neighbor_CF4,0.015254527686469621,0.015254527686469621
neighbor_Falta,0.011942050689782158,0.011942050689782158
neighbor_GCC,0.005286425613104329,0.005286425613104329
neighbor_GLI,0.009273666442450534,0.009273666442450534
neighbor_LIN,0.0028327389488913557,0.0028327389488913557
neighbor_LIP,0.002863410032194036,0.002863410032194036
neighbor_MAC,0.020560625097830076,0.020560625097830076
neighbor_MON,0.005041056946683109,0.005041056946683109
neighbor_NTI,0.013506275938217849,0.013506275938217849
neighbor_OTR,0.0068199797782374505,0.0068199797782374505
neighbor_OXA,0.01476379035362696,0.01476379035362696
neighbor_PAP,0.007709441194014732,0.007709441194014732
neighbor_PEN,0.016880095101510673,0.016880095101510673
neighbor_POL,0.004795688280261778,0.004795688280261778
neighbor_QUI,0.011788695273268757,0.011788695273268757
neighbor_SUL,0.012555472355835318,0.012555472355835318
neighbor_TTC,0.009887088108503694,0.009887088108503694
